iter	Passed	Remaining
0	48	48717
1	49	24511
2	49	16430
3	49	12383
4	50	9954
5	50	8339
6	50	7182
7	51	6332
8	51	5658
9	51	5118
10	52	4676
11	52	4308
12	52	3997
13	52	3727
14	53	3500
15	53	3296
16	54	3123
17	54	2963
18	54	2821
19	54	2691
20	55	2578
21	55	2471
22	55	2373
23	56	2283
24	56	2203
25	56	2130
26	57	2061
27	57	1996
28	57	1935
29	58	1877
30	58	1824
31	58	1778
32	59	1730
33	59	1686
34	59	1643
35	59	1603
36	60	1566
37	60	1530
38	60	1496
39	61	1464
40	61	1434
41	61	1404
42	61	1377
43	62	1350
44	62	1325
45	62	1300
46	62	1277
47	63	1254
48	63	1235
49	64	1218
50	64	1198
51	64	1179
52	64	1161
53	65	1144
54	66	1135
55	66	1118
56	66	1103
57	66	1087
58	67	1072
59	67	1058
60	67	1044
61	68	1031
62	68	1018
63	68	1005
64	69	993
65	69	981
66	69	970
67	69	958
68	71	960
69	71	949
70	71	939
71	72	929
72	72	919
73	72	910
74	73	900
75	73	891
76	73	882
77	73	872
78	74	864
79	74	855
80	74	847
81	74	838
82	75	829
83	75	821
84	75	814
85	75	806
86	76	799
87	76	792
88	76	785
89	77	778
90	77	772
91	77	765
92	77	759
93	78	753
94	78	746
95	78	740
96	78	735
97	79	729
98	79	723
99	79	718
100	80	718
101	80	713
102	81	707
103	81	702
104	81	697
105	82	692
106	82	687
107	82	682
108	82	677
109	83	673
110	83	669
111	83	664
112	84	660
113	84	655
114	84	651
115	84	647
116	85	643
117	85	639
118	85	635
119	86	630
120	86	627
121	86	622
122	86	618
123	87	615
124	87	611
125	87	607
126	87	603
127	88	600
128	88	597
129	88	594
130	89	590
131	89	587
132	89	584
133	89	580
134	90	577
135	90	574
136	90	571
137	90	568
138	91	565
139	91	562
140	91	559
141	92	555
142	92	553
143	92	550
144	92	547
145	93	544
146	93	542
147	93	539
148	93	536
149	94	533
150	94	531
151	94	528
152	95	526
153	95	523
154	95	521
155	95	518
156	96	516
157	96	514
158	96	511
159	97	509
160	97	506
161	97	504
162	97	502
163	98	499
164	98	497
165	98	495
166	98	493
167	99	491
168	99	488
169	99	486
170	99	484
171	100	482
172	100	480
173	100	478
174	101	476
175	101	474
176	101	472
177	101	470
178	102	468
179	102	466
180	102	465
181	103	463
182	103	461
183	103	459
184	103	457
185	104	455
186	104	454
187	104	452
188	105	450
189	105	448
190	105	447
191	105	445
192	106	443
193	106	441
194	106	441
195	107	439
196	107	438
197	107	436
198	108	434
199	108	433
200	108	431
201	108	430
202	109	428
203	109	427
204	109	425
205	110	424
206	110	422
207	110	421
208	110	419
209	111	418
210	111	416
211	111	415
212	112	413
213	112	412
214	112	411
215	112	409
216	113	408
217	113	406
218	113	405
219	113	404
220	114	402
221	114	401
222	114	400
223	115	400
224	115	399
225	116	397
226	116	396
227	116	395
228	117	394
229	117	392
230	117	391
231	117	390
232	118	388
233	118	387
234	118	386
235	118	385
236	119	383
237	119	382
238	119	381
239	120	380
240	120	378
241	120	377
242	120	376
243	121	375
244	121	374
245	121	373
246	122	372
247	122	370
248	122	369
249	122	368
250	123	367
251	123	366
252	123	365
253	123	364
254	124	362
255	124	361
256	124	360
257	125	360
258	125	359
259	125	358
260	126	357
261	126	356
262	126	354
263	126	353
264	127	352
265	127	351
266	127	350
267	128	349
268	128	348
269	128	347
270	128	346
271	129	345
272	129	344
273	129	343
274	129	342
275	130	341
276	130	340
277	130	339
278	131	338
279	131	337
280	131	336
281	131	335
282	132	334
283	132	333
284	132	333
285	133	332
286	133	331
287	133	330
288	133	329
289	134	328
290	134	327
291	134	326
292	135	325
293	135	324
294	135	324
295	135	323
296	136	322
297	136	321
298	136	320
299	136	319
300	137	319
301	137	318
302	138	317
303	138	316
304	138	315
305	138	315
306	139	314
307	139	313
308	139	312
309	140	311
310	140	310
311	140	309
312	140	309
313	141	308
314	141	307
315	141	306
316	141	305
317	142	305
318	142	304
319	142	303
320	143	302
321	143	301
322	143	301
323	143	300
324	144	299
325	144	298
326	144	298
327	145	297
328	145	296
329	145	295
330	145	295
331	146	294
332	146	293
333	146	292
334	147	291
335	147	291
336	147	290
337	147	289
338	148	288
339	148	288
340	148	287
341	148	286
342	149	285
343	149	285
344	149	284
345	150	283
346	150	282
347	150	282
348	150	281
349	151	280
350	151	279
351	151	279
352	151	278
353	152	277
354	152	277
355	152	276
356	153	275
357	153	274
358	153	274
359	153	273
360	154	272
361	154	272
362	154	271
363	154	270
364	155	270
365	155	269
366	155	268
367	156	268
368	156	267
369	156	266
370	156	266
371	157	265
372	157	264
373	157	264
374	158	263
375	158	262
376	158	262
377	158	261
378	159	260
379	159	260
380	159	259
381	159	258
382	160	258
383	160	257
384	160	256
385	161	256
386	161	255
387	161	254
388	162	255
389	162	254
390	163	253
391	163	253
392	163	252
393	163	251
394	164	251
395	164	250
396	164	250
397	164	249
398	165	248
399	165	248
400	165	247
401	165	246
402	166	246
403	166	245
404	166	245
405	167	244
406	167	243
407	167	243
408	167	242
409	168	241
410	168	241
411	168	240
412	169	240
413	169	239
414	169	239
415	169	238
416	170	237
417	170	237
418	170	236
419	170	236
420	171	235
421	171	234
422	171	234
423	171	233
424	172	233
425	172	232
426	172	231
427	173	231
428	173	230
